"","Position","Posted","Min.Salary.Lbs","Max.Salary.Lbs","Salary.Period","Location","Contract","ad_poster","ad_poster_type","job_Knowledge_Domain"
"334","Data Engineer ",2021-03-20,60000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Engineering"
"335","Front End  Leadership Role  £110,000 ",2021-02-25,90000,110000,"per annum","London","Permanent, full-time","Jefferson Frank ","Recruitment consultancy","Information Technology"
"336","Snr Product Manager -  Data Stacks, A/B testing ",2021-03-17,85000,NA,NA,"London","Permanent, full-time","Additional Resources Ltd","Recruitment consultancy","Information Technology"
"337","Senior C# Developer ",2021-02-12,60000,80000,"per annum","London","Permanent, full-time","Trilogy Partners Limited","Recruitment consultancy","Information Technology"
"338","Data Engineer ",2021-02-10,625,650,"per day","London","Contract, full-time","Eames Consulting Group","Recruitment consultancy","Information Technology"
"339","Senior Data Engineer ",2021-02-10,70000,80000,"per annum","London","Permanent, full-time","Data Idols","Recruitment consultancy","Information Technology"
"340","NLP Engineer - 30 million funding - Remote ",2021-03-02,NA,NA,NA,"London","Permanent, full-time","Propel London","Recruitment consultancy","Information Technology"
"341","Contract Technology Recruiter - Data ",2021-03-19,20000,30000,"per annum","London","Permanent, full-time","Gattaca","Recruitment consultancy","Human Resources"
"342","Azure Data Engineer ",2021-03-13,60000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Engineering"
"343","Junior Full-Stack Developer ",2021-03-10,30000,35000,"per annum","London","Permanent, full-time","Give A Grad A Go Ltd","Recruitment consultancy","Information Technology"
"344","Lead Data Engineer ",2021-02-19,70000,85000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"345","Data Engineer ",2021-02-10,500,550,"per day","London","Contract, full-time","Spring Technology","Recruitment consultancy","Information Technology"
"346","Data Engineer ",2021-03-09,65000,75000,"per annum","London","Permanent, full-time","Morgan McKinley","Recruitment consultancy","Information Technology"
"347","Senior Data Engineer  Market Intelligence  Global Leader  ",2021-02-17,65000,75000,"per annum","Canary Wharf","Permanent, full-time","Method Resourcing","Direct employer","Information Technology"
"348","Data Engineer - London - £60,000 DOE ",2021-03-05,55000,60000,"per annum","London","Permanent, full-time","Proxime Search","Recruitment consultancy","Information Technology"
"349","Senior CRM Analyst ",2021-03-12,35000,45000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
